t_s,x_km,v_kmh,a_ms2,P_traction_kW,P_lev_kW,P_aux_kW,E_net_kWh
1180.0,329.242125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,14.930872199659529
1190.0,332.477125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,14.95988997013265
1200.0,335.712125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,14.988907740605773
1210.0,338.947125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.017925511078897
1220.0,342.182125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.046943281552018
1230.0,345.417125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.075961052025141
1240.0,348.652125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.104978822498264
1250.0,351.887125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.133996592971386
1260.0,355.122125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.163014363444509
1270.0,358.357125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.192032133917632
1280.0,361.592125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.221049904390753
1290.0,364.827125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.250067674863876
1300.0,368.062125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.279085445337
1310.0,371.297125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.308103215810121
1320.0,374.532125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.337120986283244
1330.0,377.767125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.366138756756367
1340.0,381.002125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.395156527229489
1350.0,384.237125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.424174297702612
1360.0,387.472125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.453192068175735
1370.0,390.707125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.482209838648856
1380.0,393.942125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.51122760912198
1390.0,397.177125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.540245379595103
1400.0,400.412125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.569263150068224
1410.0,403.647125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.598280920541347
1420.0,406.882125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.62729869101447
1430.0,410.117125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.656316461487592
1440.0,413.352125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.685334231960715
1450.0,416.587125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.714352002433838
1460.0,419.822125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.74336977290696
1470.0,423.057125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.772387543380082
1480.0,426.292125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.801405313853206
1490.0,429.527125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.830423084326327
1500.0,432.762125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.85944085479945
1510.0,435.997125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.888458625272573
1520.0,439.232125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.917476395745695
1530.0,442.467125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.946494166218818
1540.0,445.702125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,15.975511936691941
1550.0,448.937125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.004529707165062
1560.0,452.172125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.033547477638184
1570.0,455.407125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.06256524811131
1580.0,458.642125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.09158301858443
1590.0,461.877125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.12060078905755
1600.0,465.112125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.149618559530676
1610.0,468.347125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.178636330003798
1620.0,471.582125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.20765410047692
1630.0,474.817125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.236671870950044
1640.0,478.052125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.265689641423165
1650.0,481.287125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.294707411896287
1660.0,484.522125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.32372518236941
1670.0,487.757125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.352742952842533
1680.0,490.992125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.381760723315654
1690.0,494.227125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.41077849378878
1700.0,497.462125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.4397962642619
1710.0,500.697125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.468814034735022
1720.0,503.932125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.497831805208147
1730.0,507.167125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.52684957568127
1740.0,510.402125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.55586734615439
1750.0,513.637125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.584885116627515
1760.0,516.872125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.613902887100636
1770.0,520.107125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.642920657573757
1780.0,523.342125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.671938428046882
1790.0,526.577125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.700956198520004
1800.0,529.812125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.729973968993125
1810.0,533.047125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.75899173946625
1820.0,536.282125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.78800950993937
1830.0,539.517125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.817027280412493
1840.0,542.752125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.846045050885618
1850.0,545.987125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.87506282135874
1860.0,549.222125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.90408059183186
1870.0,552.457125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.933098362304985
1880.0,555.692125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.962116132778107
1890.0,558.927125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,16.991133903251228
1900.0,562.162125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.020151673724353
1910.0,565.397125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.049169444197474
1920.0,568.632125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.078187214670596
1930.0,571.867125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.10720498514372
1940.0,575.102125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.136222755616842
1950.0,578.337125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.165240526089963
1960.0,581.572125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.19425829656309
1970.0,584.807125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.22327606703621
1980.0,588.042125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.25229383750933
1990.0,591.277125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.281311607982456
2000.0,594.512125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.310329378455577
2010.0,597.747125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.3393471489287
2020.0,600.982125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.368364919401824
2030.0,604.217125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.397382689874945
2040.0,607.452125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.426400460348066
2050.0,610.687125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.45541823082119
2060.0,613.922125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.484436001294313
2070.0,617.157125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.513453771767434
2080.0,620.392125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.54247154224056
2090.0,623.627125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.57148931271368
2100.0,626.862125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.600507083186802
2110.0,630.097125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.629524853659927
2120.0,633.332125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.658542624133048
2130.0,636.567125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.68756039460617
2140.0,639.802125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.716578165079294
2150.0,643.037125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.745595935552416
2160.0,646.272125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.774613706025537
2170.0,649.507125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.803631476498662
2180.0,652.742125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.832649246971783
2190.0,655.977125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.861667017444905
2200.0,659.212125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.89068478791803
2210.0,662.447125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.91970255839115
2220.0,665.682125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.948720328864272
2230.0,668.917125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,17.977738099337397
2240.0,672.152125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.00675586981052
2250.0,675.387125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.03577364028364
2260.0,678.622125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.064791410756765
2270.0,681.857125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.093809181229886
2280.0,685.092125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.122826951703008
2290.0,688.327125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.151844722176133
2300.0,691.562125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.180862492649254
2310.0,694.797125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.20988026312238
2320.0,698.032125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.2388980335955
2330.0,701.267125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.267915804068625
2340.0,704.502125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.296933574541747
2350.0,707.737125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.325951345014868
2360.0,710.972125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.354969115487993
2370.0,714.207125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.383986885961114
2380.0,717.442125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.413004656434236
2390.0,720.677125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.44202242690736
2400.0,723.912125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.471040197380482
2410.0,727.147125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.500057967853603
2420.0,730.382125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.52907573832673
2430.0,733.617125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.55809350879985
2440.0,736.852125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.58711127927297
2450.0,740.087125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.616129049746096
2460.0,743.322125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.645146820219217
2470.0,746.557125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.67416459069234
2480.0,749.792125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.703182361165464
2490.0,753.027125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.732200131638585
2500.0,756.262125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.761217902111706
2510.0,759.497125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.79023567258483
2520.0,762.732125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.819253443057953
2530.0,765.967125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.848271213531074
2540.0,769.202125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.8772889840042
2550.0,772.437125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.90630675447732
2560.0,775.672125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.935324524950442
2570.0,778.907125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.964342295423567
2580.0,782.142125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,18.993360065896688
2590.0,785.377125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.02237783636981
2600.0,788.612125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.051395606842934
2610.0,791.847125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.080413377316056
2620.0,795.082125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.109431147789177
2630.0,798.317125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.138448918262302
2640.0,801.552125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.167466688735423
2650.0,804.787125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.196484459208545
2660.0,808.022125,1164.6000000000001,0.0,8.696397370330041,0.75,1.0,19.22550222968167
